Sample.ID,Floral,Country,Island,Year,Latitude,Longitude,Li,B,Na,Mg,Al,K,Ca,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Rb,Sr,Ag,Cs,Ba,La,Ce,Pb,Rb.Sr
100006 Avg,Kamahi,New Zealand,North,2009,-38.5859333,175.4542614,0.009347991,4.45756585,18.2046966,17.93843473,0.809177188,1329.050058,39.81184569,0,0.030834364,1.666597429,2.491013254,0.001433813,0.061176383,0.131282725,8.039711755,0.025049069,5.081452691,0.092846176,0.003412095,0.016029036,0.165720347,0.000301779,0.001645446,0.019717081,54.72980023
100041 Avg,Clover,New Zealand,South,2009,-43.26752575,172.1981159,0,5.217880923,76.23827828,22.23720268,0.431433644,781.8815028,45.83407884,0.000522109,0.015733695,0.387071589,1.233575843,0.008151614,0.141622569,0.362989099,1.67647286,0.009959857,1.479506519,0.096724966,0.000779511,0.002444082,0.063785956,0.000231689,0.000214964,0.011097802,15.29601492
100039 Avg,Manuka,New Zealand,North,2009,-38.54068827,177.4557095,0.011628812,3.540172356,64.20817164,32.49790938,16.77163621,1530.207691,57.73672075,0.000739712,0.017628524,7.411058081,2.120376633,0.002630865,0.022877442,0.48941567,0.54146758,0.030647891,3.099806112,0.297077315,0.001366475,0.004723115,0.210065347,0.00053545,0.000439039,0.002660083,10.43434136
100023 Avg,Clover,New Zealand,North,2009,-38.25747945,177.3606338,0,3.732931523,65.75651718,15.83000374,1.114583801,507.007461,42.94284705,0.000574689,0.00281888,0.758089457,1.631807141,0.006602252,0.016589108,0.102825003,2.320238819,0.01676623,1.47337308,0.114708105,-0.000102102,0.002454448,0.113111845,2.37E-05,0.000356592,0.005054297,12.84454209
100017 Avg,Honeydew,New Zealand,South,2009,-42.42516702,172.3327086,0.006840618,2.478224648,11.69179362,101.9443258,0.337386762,4662.921765,26.63080636,0,0,0.900931752,0,0.013208753,0.561620302,1.14581972,1.632789238,0.025977352,6.228523308,0.168923187,0.002522067,0.017315988,0.167309387,0.00047228,0.000596656,0.00525869,36.87192634
100015 Avg,Honeydew,New Zealand,South,2009,-42.42516702,172.3327086,0.006973142,2.372129724,12.48984989,106.4985702,0.390248961,4830.440315,28.00535546,0,0.006104551,1.061481218,0,0.014049208,0.584133295,1.193234978,1.830288439,0.027629104,6.303392675,0.179828449,0.000386163,0.017046583,0.17685179,0,0.000590811,0.006928058,35.05225515
100008 Avg,Kamahi,New Zealand,North,2009,-38.5724188,175.4411539,0.021457558,5.122891887,27.10417527,28.69755036,2.680055194,2405.149046,66.13856751,0.002103413,0.018420338,2.726468807,1.400733391,0,0.046506653,0.294953418,6.385861066,0.03170308,9.159138116,0.206832834,0.007714851,0.034610658,0.206660812,0.000333714,0.000999243,0.010391423,44.2828053
100024 Avg,Clover,New Zealand,North,2009,-38.25747945,177.3606338,0,3.631222285,64.65192226,15.04572516,1.299770523,460.7379512,37.08638396,0,0.011914136,0.83888508,3.928397348,0.005906543,0.016207883,0.020196424,4.360318256,0.016782412,1.532941638,0.087972516,2.77E-05,0.003221006,0.116278731,0.000381505,0.000376462,0.007455981,17.42523348
100009 Avg,Manuka,New Zealand,North,2009,-35.3858006,173.5213002,0.01158194,5.143919071,84.5792045,70.18271277,0.857380998,2618.806954,85.82923319,0.002420268,0.061222682,2.156664975,4.93196713,0.012965761,0.094397333,0.532501498,27.84994852,0.042248268,3.468020388,0.424428692,0.00163782,0.002389167,0.272556188,0.000321773,0.001246465,0.013490353,8.171031918
100013 Avg,Honeydew,New Zealand,South,2009,-42.42516702,172.3327086,0.006082064,2.702911601,12.55815722,97.3240993,0.335330308,4414.361764,30.86728009,0,0.002917564,1.007285605,0,0.013152758,0.502170644,1.03310373,1.558522788,0.02281402,6.975932274,0.176987649,0.051047137,0.022120426,0.14509006,0.00047794,0.000361904,0.004212944,39.41479716
